sID,sentence,is_stressor,is_stressor_conf,is_covid,is_covid_conf,original_label,top_label,second_label,avg_severity,median_severity,SD_severity,Votes,Financial Problem,Other,Everyday Decision Making,Emotional Turmoil,School,Family Issues,Social Relationships,Work,"Health, Fatigue, or Physical Pain",Source,is_seed
12,A house almost fell on my earlier.  It really did.,1,100.00%,0,60.00%,Emotional Turmoil,"Health, Fatigue, or Physical Pain",Other,6,6,1.67,6,0,0.3,0,0.2,0,0,0.2,0,0.3,mTurk_synthetic_covid,0
13,"A lot of my hair has been falling out, and I'm afraid I'll go bald.",1,100.00%,0,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Emotional Turmoil,4.2,5,0.98,6,0,0,0,0.1,0,0,0,0,0.9,mTurk_synthetic_covid,0
14,a lot of things! where to start?!,1,100.00%,0,100.00%,Other,Other,Everyday Decision Making,4.2,4,2.14,7,0,0.7,0.2,0.1,0,0,0,0,0,mTurk_synthetic,0
15,a lot of work is piling up,1,100.00%,0,100.00%,Work,Work,Social Relationships,3.4,3,1.02,6,0,0,0.1,0,0,0,0.2,0.7,0,mTurk_synthetic,0
16,a lot of work pressure in my office,1,100.00%,0,100.00%,Work,Work, ,2.2,2,0.75,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
17,a lot on my to do list,1,100.00%,0,100.00%,Work,Everyday Decision Making,Other,2,1,1.55,7,0,0.2,0.6,0,0,0,0,0,0.2,popbots_live,1
18,a lot to do at work right now,1,100.00%,0,100.00%,Work,Work, ,4,5,1.55,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
19,A new type of job where I am by myself,1,80.00%,0,80.00%,Work,Work,Other,2.2,2,1.6,5,0.2,0.2,0,0,0,0,0,0.6,0,mTurk_synthetic_covid,0
20,a newborn that doesn't sleep for very long at night,1,100.00%,0,100.00%,Family Issues,Family Issues,"Health, Fatigue, or Physical Pain",3,3,1.67,8,0,0,0,0,0,0.5,0,0,0.5,mTurk_synthetic,0
21,a paper i need to write,1,80.00%,0,100.00%,School,School,Other,2.6,3,1.5,5,0,0.2,0,0,0.8,0,0,0,0,popbots_live,1
22,a person i know is manipulating money owed.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Emotional Turmoil,4.6,5,1.5,6,0.5,0,0,0.2,0,0,0.1,0.2,0,mTurk_synthetic,0
23,a person i work with is driving me crazy,1,100.00%,0,100.00%,Social Relationships,Work,Social Relationships,4,4,1.67,9,0,0,0.1,0,0,0,0.3,0.6,0,popbots_live,0
24,a problem at work,1,100.00%,0,100.00%,Emotional Turmoil,Work, ,3,2,1.79,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
25,"a problem at work, a problem at school, and planning a surprise party for my mother",1,100.00%,0,100.00%,Work,Work,School,4.4,4,1.36,9,0.2,0,0,0.1,0.3,0,0,0.4,0,mTurk_synthetic,0
26,"a problem at work, school, or simply planning a meal and the work problem office",1,100.00%,0,100.00%,"Health, Fatigue, or Physical Pain",Work,School,5,4,2.83,10,0,0,0,0,0.5,0,0,0.5,0,mTurk_synthetic,0
27,a professor is driving me crazy.,1,100.00%,0,100.00%,School,School, ,2.6,2,1.85,5,0,0,0,0,1,0,0,0,0,popbots_live,1
28,a recent project at my workplace has been giving much stress lately.,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,3,3,1.1,5,0,0,0,0.4,0,0,0,0.6,0,mTurk_synthetic,0
29,A recent situation has been this corona virus and not knowing what is going on with coll,1,100.00%,1,100.00%,School,"Health, Fatigue, or Physical Pain",Everyday Decision Making,5.4,5,1.5,9,0,0,0.2,0.1,0.1,0,0,0.2,0.4,mTurk_synthetic_covid,0
30,a recent situation is that my house is listed and not selling quick,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Everyday Decision Making,3.4,3,1.62,6,0.9,0,0.1,0,0,0,0,0,0,mTurk_synthetic,0
31,a recent situation that has been stressful to me is with my work.,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,4.2,4,0.98,5,0,0,0,0.2,0,0,0,0.8,0,mTurk_synthetic,0
32,a recent situation that's been stressing me out is my trust issues i have with people,1,100.00%,0,100.00%,Emotional Turmoil,Social Relationships,Emotional Turmoil,3,4,1.67,6,0,0,0,0.3,0,0,0.7,0,0,mTurk_synthetic,1
33,a recent stressful situation that i have experienced is being overworked.,1,100.00%,0,100.00%,Work,Work,Family Issues,4,4,0.63,6,0,0,0,0.1,0,0.2,0,0.7,0,mTurk_synthetic,0
34,A situation that has been stressing me out is the coronavirus.,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain",Emotional Turmoil,"Health, Fatigue, or Physical Pain",5.2,6,1.72,6,0,0,0,0.5,0,0,0,0,0.5,mTurk_synthetic_covid,0
35,aagh insurance company overdrafted my checking acccount in error and refuses to fix.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Emotional Turmoil,5.6,5,2.42,7,0.8,0,0.1,0.1,0,0,0,0,0,mTurk_synthetic,1
36,"about my husband drinking problem. his drinking all day, spending $19 everyday.",1,100.00%,0,100.00%,Family Issues,Family Issues,Social Relationships,6.8,7,1.94,7,0.1,0,0,0,0,0.5,0.3,0,0.1,mTurk_synthetic,0
37,about working,1,100.00%,0,100.00%,Family Issues,Work,Emotional Turmoil,4.4,4,1.96,5,0,0,0,0.2,0,0,0,0.8,0,mTurk_synthetic,0
38,Adjusting to distance learning for graduate level courses,1,80.00%,1,60.00%,School,School,Other,3.2,3,1.83,6,0,0.2,0,0.1,0.7,0,0,0,0,mTurk_synthetic_covid,0
39,all 3 of my grown children have significant issues going on.,1,100.00%,0,100.00%,Family Issues,Family Issues,Emotional Turmoil,6,6,1.41,6,0,0,0,0.1,0,0.9,0,0,0,mTurk_synthetic,0
40,all my new work duties,1,100.00%,0,100.00%,Work,Work, ,2.8,2,1.47,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
41,All of my classes being online and my roommate is being hypocritical.,1,100.00%,1,80.00%,Social Relationships,School,Social Relationships,3.4,3,1.02,10,0,0,0,0,0.5,0,0.5,0,0,mTurk_synthetic_covid,0
42,All of my classes moving online,1,100.00%,1,100.00%,School,School, ,2.2,2,0.98,5,0,0,0,0,1,0,0,0,0,mTurk_synthetic_covid,0
43,All of the COVID-19 happenings and the financial fallout that has happened as a result.,1,100.00%,1,100.00%,Emotional Turmoil,Financial Problem,"Health, Fatigue, or Physical Pain",7.4,7,1.02,9,0.6,0,0,0.2,0,0,0,0,0.2,mTurk_synthetic_covid,0
44,All of the news and lockdown of the covid-19,1,100.00%,1,100.00%,Everyday Decision Making,"Health, Fatigue, or Physical Pain",Other,4.8,6,1.94,7,0,0.3,0.2,0.1,0,0,0,0,0.4,mTurk_synthetic_covid,0
45,all of this covid stuff kinda,1,80.00%,1,100.00%,Emotional Turmoil,Other,Emotional Turmoil,3,3,2.45,5,0,0.4,0,0.4,0,0,0,0,0.2,mTurk_synthetic_covid,0
46,all the craziness going on in the country right now,1,80.00%,1,100.00%,Other,Other,Emotional Turmoil,1.8,1,1.47,6,0,0.5,0.1,0.2,0,0,0,0,0.2,mTurk_synthetic_covid,0
47,all the drama involving my case.,1,100.00%,0,100.00%,Family Issues,Work,Other,4.4,4,1.62,6,0.2,0.3,0,0.2,0,0,0,0.3,0,mTurk_synthetic,0
48,All the panic about the global pandemic has been stressing me out!,1,100.00%,1,100.00%,Everyday Decision Making,Emotional Turmoil,Other,5.2,5,1.33,7,0,0.2,0.1,0.4,0,0,0.1,0,0.2,mTurk_synthetic_covid,0
49,all these exams i have coming up and no time to study!,1,80.00%,0,100.00%,School,School,Other,4.8,6,2.48,6,0,0.1,0,0,0.9,0,0,0,0,mTurk_synthetic,1
50,all these extra hours at work are driving me insane.,1,100.00%,0,100.00%,Work,Work,"Health, Fatigue, or Physical Pain",4.8,5,1.17,6,0,0,0,0,0,0,0,0.9,0.1,mTurk_synthetic,0
51,All this Covid-19 stuff is really stressing me out.,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain",Emotional Turmoil,"Health, Fatigue, or Physical Pain",3.8,4,1.6,5,0,0,0,0.6,0,0,0,0,0.4,mTurk_synthetic_covid,0
52,All this school work,1,100.00%,0,100.00%,School,School, ,3.6,4,1.85,5,0,0,0,0,1,0,0,0,0,mTurk_synthetic_covid,0
53,all this schoolwork i've had lately.,1,100.00%,0,100.00%,School,School, ,3.4,3,1.36,5,0,0,0,0,1,0,0,0,0,mTurk_synthetic,1
54,alot of stress at work.,1,100.00%,0,100.00%,Work,Work, ,4.8,6,1.6,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
55,"am having a terrible time  planning my dinner tonite, please any suggestions",1,80.00%,0,100.00%,Everyday Decision Making,Everyday Decision Making,Other,1,1,0.63,6,0,0.2,0.7,0.1,0,0,0,0,0,mTurk_synthetic,1
56,amazon turk has been really slow so i haven't been making much extra money...,1,80.00%,0,100.00%,Work,Other,Emotional Turmoil,3.6,4,2.24,7,0.2,0.4,0,0.2,0,0,0,0.2,0,mTurk_synthetic,0
57,An exam at school that everyone is saying you can't pass.,1,100.00%,0,100.00%,School,School,Other,4.4,4,1.02,6,0,0.1,0,0,0.9,0,0,0,0,mTurk_synthetic_covid,0
58,and name,0,100.00%,0,100.00%,Other,Other, ,0,0,0,5,0,1,0,0,0,0,0,0,0,popbots_live,0
59,answer with the situation,0,100.00%,0,100.00%,Other,Other, ,0,0,0,5,0,1,0,0,0,0,0,0,0,mTurk_synthetic,0
60,anxious customer,1,100.00%,0,100.00%,Work,Work,Social Relationships,3.8,3,2.71,5,0,0,0,0.2,0,0,0.2,0.6,0,popbots_live,0
61,anything i can do to help?,1,60.00%,0,100.00%,Family Issues,Other,Work,3.2,4,2.79,5,0.2,0.4,0,0.2,0,0,0,0.2,0,mTurk_synthetic,0
62,applying for a writing grant with many requirements.,1,80.00%,0,100.00%,Work,Work,School,2,2,1.1,6,0.2,0.2,0,0,0.3,0,0,0.3,0,mTurk_synthetic,0
63,"Argh, don't have the AMR measure for submission yet.",1,100.00%,0,100.00%,Work,Other,Work,2.4,2,1.85,6,0,0.6,0,0,0.1,0,0,0.3,0,mTurk_synthetic_covid,0
64,"as i'm applying to nursing schools, there's so many applicants i hope i get in.",1,100.00%,0,100.00%,School,School,Work,4.8,6,1.94,6,0,0,0,0,0.9,0,0,0.1,0,mTurk_synthetic,0
65,"at my current work, i am feeling so stressful and tired because of my team work pressure",1,100.00%,0,100.00%,Work,Work,"Health, Fatigue, or Physical Pain",4.6,5,2.06,7,0,0,0,0,0,0,0.1,0.8,0.1,mTurk_synthetic,0
66,At the moment just life,1,100.00%,0,80.00%,Family Issues,Everyday Decision Making,Other,3.4,3,2.06,7,0,0.3,0.5,0.2,0,0,0,0,0,mTurk_synthetic_covid,0
67,"at the time i was very angry to with my friend and then , i am going to depression stage",1,100.00%,0,100.00%,Family Issues,Social Relationships,"Health, Fatigue, or Physical Pain",5.4,5,1.85,9,0,0,0,0.2,0,0,0.6,0,0.2,mTurk_synthetic,1
68,bad day at work.,1,80.00%,0,100.00%,Work,Work,Other,2.8,3,1.6,6,0,0.3,0,0,0,0,0,0.7,0,mTurk_synthetic,0
69,"Balancing school and work online, and maintaining a healty diet",1,100.00%,0,60.00%,Work,Work,School,4.8,5,0.75,10,0,0,0.1,0,0.3,0,0,0.4,0.2,mTurk_synthetic_covid,0
70,balancing work with home schooling my children,1,80.00%,1,60.00%,Work,Work,Other,4.4,5,2.24,8,0,0.2,0,0,0.1,0.2,0,0.5,0,mTurk_synthetic_covid,0
71,"balancing work, life, & budget",1,100.00%,0,100.00%,Work,Work,Everyday Decision Making,3.6,4,1.5,8,0.3,0,0.3,0,0,0,0,0.4,0,mTurk_synthetic,0
72,"balancing working enough to pay bills, but also not overworking.",1,100.00%,0,100.00%,Work,Work,Financial Problem,4.6,5,1.5,10,0.5,0,0,0,0,0,0,0.5,0,mTurk_synthetic,0
73,be cool,0,100.00%,0,100.00%,Family Issues,Other, ,0,0,0,5,0,1,0,0,0,0,0,0,0,mTurk_synthetic,0
74,Because of a power outage all of my classes have been moved to online,1,80.00%,1,60.00%,School,School,Family Issues,3.8,4,2.23,5,0,0.2,0,0.2,0.2,0.2,0.2,0,0,mTurk_synthetic_covid,0
75,"Because of coronavirus, I've lost about 3 months of work.",1,100.00%,1,100.00%,Work,Work,Financial Problem,6.6,6,1.96,7,0.2,0,0,0,0,0,0,0.8,0,mTurk_synthetic_covid,0
76,becoming a sahm isn't what i expected.,1,80.00%,0,100.00%,Emotional Turmoil,Work,Everyday Decision Making,4.6,6,2.33,7,0.1,0.2,0.2,0.1,0,0.1,0,0.3,0,mTurk_synthetic,0
77,been busy w/ work,1,100.00%,0,100.00%,Work,Work, ,2.2,2,0.98,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
78,been sick with pneumonia and haven't been able to work,1,100.00%,0,100.00%,Work,"Health, Fatigue, or Physical Pain",Work,6.6,7,2.06,8,0,0,0,0,0,0,0,0.3,0.7,mTurk_synthetic,1
79,been slammed at work with the holidays coming up.,1,100.00%,0,100.00%,Work,Work,Social Relationships,3.6,3,1.36,6,0,0,0,0,0,0.1,0.4,0.5,0,mTurk_synthetic,0
80,Been stressed at work.,1,100.00%,0,100.00%,Work,Work, ,3,3,0.89,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic_covid,0
81,been stressing about work and having a new baby,1,100.00%,0,100.00%,Family Issues,Family Issues,Work,4.4,4,1.02,9,0,0,0.1,0,0,0.6,0,0.3,0,mTurk_synthetic,0
82,been trying for days to book doc apt and still waiting :(,1,80.00%,0,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Everyday Decision Making,4,4,2.28,5,0,0.2,0.2,0,0,0,0,0,0.6,mTurk_synthetic,1
83,"being a caregiver for a sick family friend, i feel like i have no time to myself",1,100.00%,0,100.00%,Family Issues,Social Relationships,Financial Problem,4.6,4,1.36,8,0.2,0,0.1,0,0,0.1,0.4,0,0.2,mTurk_synthetic,1
84,being a new mom and trying to find time to myself,1,100.00%,0,100.00%,Family Issues,Family Issues,"Health, Fatigue, or Physical Pain",5.6,6,1.85,8,0.2,0,0.1,0,0,0.4,0,0,0.3,mTurk_synthetic,0
85,Being able to find food and goods for my family.,1,100.00%,1,80.00%,Other,Family Issues,Everyday Decision Making,6.6,6,1.62,7,0.1,0.2,0.3,0,0,0.4,0,0,0,mTurk_synthetic_covid,0
86,being able to my bills on time,1,100.00%,0,100.00%,Financial Problem,Financial Problem, ,4.6,5,1.36,5,1,0,0,0,0,0,0,0,0,mTurk_synthetic,0
87,being at home alone with a newborn.,1,100.00%,0,100.00%,Family Issues,Family Issues,Emotional Turmoil,5.4,5,1.85,7,0,0,0,0.2,0,0.6,0.1,0,0.1,mTurk_synthetic,0
88,being back at work,1,80.00%,0,100.00%,Work,Work,Other,2.4,2,2.06,7,0,0.1,0,0,0,0,0,0.8,0.1,mTurk_synthetic,0
89,being evicted,1,100.00%,0,60.00%,Financial Problem,Financial Problem,Emotional Turmoil,9.2,9,0.75,6,0.9,0,0,0.1,0,0,0,0,0,mTurk_synthetic_covid,0
90,being hit on by coworker,1,100.00%,0,100.00%,Work,Work,Social Relationships,2.6,3,1.5,8,0,0,0,0,0,0,0.5,0.5,0,mTurk_synthetic,0
91,Being home almost all day,1,100.00%,1,100.00%,Other,Emotional Turmoil,"Health, Fatigue, or Physical Pain",3.8,4,1.6,8,0,0.2,0,0.3,0,0.1,0.1,0,0.3,mTurk_synthetic_covid,0
92,being home for several weeks at a time,1,100.00%,1,80.00%,"Health, Fatigue, or Physical Pain",Emotional Turmoil,Family Issues,3.6,4,1.62,6,0,0.2,0,0.4,0,0.3,0.1,0,0,mTurk_synthetic_covid,0
93,Being home with the kids all day during this pandemic!,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain",Family Issues,Emotional Turmoil,4.8,5,1.33,6,0,0,0.2,0.2,0,0.5,0,0,0.1,mTurk_synthetic_covid,0
94,"being in a shelter in place order, which is driving me insane not being able to go out",1,100.00%,1,100.00%,Social Relationships,Everyday Decision Making,Financial Problem,5.2,6,2.14,8,0.2,0.2,0.2,0.1,0,0,0.1,0.1,0.1,mTurk_synthetic_covid,0
95,being in the hospital for several days,1,100.00%,0,100.00%,Financial Problem,"Health, Fatigue, or Physical Pain",Financial Problem,7,6,1.67,5,0.2,0,0,0,0,0,0,0,0.8,mTurk_synthetic,1
96,Being laid off from work,1,100.00%,1,60.00%,Financial Problem,Work,Family Issues,6.4,7,1.36,7,0.1,0,0,0.1,0,0.2,0,0.5,0.1,mTurk_synthetic_covid,0
97,Being laod off from my job,1,100.00%,0,80.00%,Work,Work,Financial Problem,6.8,7,1.33,6,0.1,0,0,0,0,0,0,0.9,0,mTurk_synthetic_covid,0
98,being micromanaged at my workplace.,1,100.00%,0,100.00%,Work,Work,Social Relationships,3.6,3,2.24,6,0,0,0,0,0,0.2,0.3,0.5,0,mTurk_synthetic,0
99,being off of work,1,80.00%,1,60.00%,Work,Work,Other,4.4,6,2.33,6,0.1,0.2,0,0,0,0,0,0.7,0,mTurk_synthetic_covid,0
100,Being quarantined because of the corona virus.,1,100.00%,1,100.00%,Emotional Turmoil,Other,"Health, Fatigue, or Physical Pain",5,4,1.67,8,0,0.5,0,0.1,0,0,0.1,0,0.3,mTurk_synthetic_covid,0
101,Being quarantined because og Corona Virus,1,100.00%,1,100.00%,Work,Other,Emotional Turmoil,5.4,6,1.62,5,0,0.6,0,0.2,0,0,0.2,0,0,mTurk_synthetic_covid,0
102,Being quarantined due to coronavirus.,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain",Social Relationships,Emotional Turmoil,5.2,5,2.23,7,0,0,0,0.3,0,0.1,0.3,0.2,0.1,mTurk_synthetic_covid,0
103,Being quarantined for the coronavirus in our town,1,80.00%,1,100.00%,Financial Problem,Emotional Turmoil,"Health, Fatigue, or Physical Pain",1.6,1,1.36,5,0,0.2,0,0.6,0,0,0,0,0.2,mTurk_synthetic_covid,0
104,Being quarantined in my home because of a widespread infectious disease...,1,100.00%,1,100.00%,Everyday Decision Making,Emotional Turmoil,"Health, Fatigue, or Physical Pain",4,4,1.79,7,0,0.1,0,0.5,0,0,0.1,0,0.3,mTurk_synthetic_covid,0
105,being self employed for the new year is really stressing me out.,1,100.00%,0,100.00%,Work,Work,Family Issues,5.4,6,0.8,6,0.1,0,0.1,0,0,0.2,0,0.6,0,mTurk_synthetic,0
106,Being shut in from the virus,1,100.00%,1,100.00%,Other,Everyday Decision Making,Social Relationships,4.2,5,1.94,7,0,0,0.5,0.1,0,0,0.2,0,0.2,mTurk_synthetic_covid,0
107,being sick all week,1,80.00%,0,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Other,3.8,5,2.79,6,0,0.1,0,0,0,0,0,0,0.9,mTurk_synthetic,1
108,Being stuck at home and not being able to go  to church,1,80.00%,1,100.00%,Other,Other,Emotional Turmoil,1.8,1,1.72,5,0,0.6,0,0.4,0,0,0,0,0,mTurk_synthetic_covid,0
109,"Being stuck at home has been pretty stressful, the pressure of the world today.",1,100.00%,1,100.00%,Emotional Turmoil,Financial Problem,Everyday Decision Making,4.8,5,0.75,7,0.4,0,0.2,0.1,0.1,0,0,0.1,0.1,mTurk_synthetic_covid,0
110,Being stuck at home in quarantine,1,100.00%,1,100.00%,Other,Emotional Turmoil,Other,5,4,1.55,6,0,0.2,0,0.5,0,0.2,0.1,0,0,mTurk_synthetic_covid,0
111,being stuck at home watching nothing but news on the coronavirus!,1,100.00%,1,100.00%,Emotional Turmoil,"Health, Fatigue, or Physical Pain",Emotional Turmoil,4.6,5,2.06,8,0.1,0,0.2,0.3,0,0,0.1,0,0.3,mTurk_synthetic_covid,0
112,Being stuck at home with two other people and having no privacy.,1,80.00%,1,80.00%,"Health, Fatigue, or Physical Pain",Social Relationships,Family Issues,2.8,2,1.94,6,0,0.2,0,0,0,0.3,0.5,0,0,mTurk_synthetic_covid,0
113,Being stuck in my house during quarantine,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain",Other,Work,5.2,6,2.48,8,0,0.3,0.1,0.1,0,0.1,0.1,0.2,0.1,mTurk_synthetic_covid,0
114,Being stuck inside due to the coronavirus,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain",Everyday Decision Making,Emotional Turmoil,2.2,2,0.75,8,0,0.2,0.3,0.3,0,0,0,0,0.2,mTurk_synthetic_covid,0
115,Being turned down for SSI and having to find an attorney to fight it.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Everyday Decision Making,7.4,7,1.85,5,0.8,0,0.2,0,0,0,0,0,0,mTurk_synthetic_covid,0
116,Being unemployed has been really stressful.,1,100.00%,1,60.00%,Work,Work,Financial Problem,7.4,8,2.33,8,0.3,0,0,0,0,0.2,0,0.5,0,mTurk_synthetic_covid,0
117,being unproductive,1,100.00%,0,100.00%,Work,Everyday Decision Making,Emotional Turmoil,2.6,3,1.02,5,0,0,0.6,0.2,0,0,0,0.2,0,popbots_live,1
118,believing i'm incompetent at my job.  feels like in over my head.,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,6.4,7,1.85,8,0,0,0.1,0.2,0,0,0,0.7,0,mTurk_synthetic,0
119,"besides everything? the amount of wasted time it takes to get anything done, takes time",1,80.00%,0,100.00%,Emotional Turmoil,Other,Everyday Decision Making,4.6,5,2.42,6,0,0.5,0.5,0,0,0,0,0,0,mTurk_synthetic,0
120,big project at work has had me pulling my hair out,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,4,3,1.79,7,0,0,0,0.2,0,0,0,0.8,0,mTurk_synthetic,0
121,big test coming up and need to finish my work.,1,100.00%,0,100.00%,Work,School,Work,4.2,3,1.94,7,0,0.1,0,0,0.7,0,0,0.2,0,mTurk_synthetic,1
122,big trip home,1,80.00%,0,100.00%,Work,Family Issues,Other,2.4,1,2.24,7,0,0.2,0,0.1,0,0.6,0.1,0,0,popbots_live,0
123,bills,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Work,4.6,4,3.01,6,0.9,0,0,0,0,0,0,0.1,0,mTurk_synthetic,0
124,"bills. with the holidays coming up, i just don't know how i'm going to manage.",1,100.00%,0,100.00%,Financial Problem,Financial Problem,Everyday Decision Making,5,4,1.79,6,0.7,0,0.2,0,0,0.1,0,0,0,mTurk_synthetic,0
125,body pain,1,80.00%,0,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Other,3.8,4,2.23,5,0,0.2,0,0,0,0,0,0,0.8,popbots_live,0
126,boss at work,1,60.00%,0,100.00%,Work,Work,Other,4,5,3.74,5,0,0.4,0,0,0,0,0,0.6,0,mTurk_synthetic,0
127,boss has been frustrating me!,1,100.00%,0,100.00%,Work,Work, ,4.6,4,3.2,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
128,boss has been really annoying lately.,1,100.00%,0,100.00%,Work,Work,Social Relationships,4.8,5,2.32,6,0,0,0,0,0.2,0,0.3,0.5,0,mTurk_synthetic,0
129,boss keeps piling me up with work,1,100.00%,0,100.00%,Work,Work, ,3.8,4,1.33,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
130,"Bowling center shutdown, no coaching lessons for a month. No money.",1,100.00%,1,80.00%,Financial Problem,Financial Problem,Work,6.2,6,1.17,7,0.4,0,0,0,0,0.2,0.1,0.3,0,mTurk_synthetic_covid,0
131,budget cuts at work,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,4,4,2,7,0.1,0,0,0.1,0,0,0,0.8,0,mTurk_synthetic,0
132,bueller?,0,100.00%,0,100.00%,Other,Other, ,0,0,0,5,0,1,0,0,0,0,0,0,0,popbots_live,0
133,Buying a home and figuring out how to pay for it,1,100.00%,0,60.00%,Financial Problem,Financial Problem,Everyday Decision Making,5,6,1.26,7,0.8,0,0.2,0,0,0,0,0,0,mTurk_synthetic_covid,0
134,buying a house has been pretty stressful!,1,100.00%,0,100.00%,Emotional Turmoil,Everyday Decision Making,Other,4.2,4,2.23,7,0.2,0.2,0.5,0,0,0.1,0,0,0,mTurk_synthetic,1
135,buying my first home,1,80.00%,0,100.00%,Financial Problem,Financial Problem,Other,4.2,5,2.23,8,0.5,0.3,0.1,0.1,0,0,0,0,0,mTurk_synthetic,0
136,california wildfires are a big concern,1,100.00%,0,100.00%,Emotional Turmoil,Other,Emotional Turmoil,3.6,3,0.8,6,0,0.6,0,0.2,0,0,0.1,0,0.1,mTurk_synthetic,0
137,"calm friend, everything will be fine, remember to stay calm",1,60.00%,1,60.00%,School,Emotional Turmoil,Other,4.2,5,3.82,6,0,0.4,0.1,0.5,0,0,0,0,0,mTurk_synthetic_covid,0
138,can i go online to earn enough money to pay the bills.,0,60.00%,0,100.00%,Financial Problem,Other,Financial Problem,1.2,0,1.47,6,0.3,0.6,0,0,0,0,0,0.1,0,mTurk_synthetic,0
139,can we meet and talk sometime?,0,60.00%,0,100.00%,Emotional Turmoil,Other,Family Issues,1.8,0,2.71,5,0,0.6,0,0.2,0,0.2,0,0,0,mTurk_synthetic,0
140,can we meet for coffee so i can talk to you?,0,80.00%,0,100.00%,Family Issues,Other, ,0.4,0,0.8,5,0,1,0,0,0,0,0,0,0,mTurk_synthetic,0
